file_name,mode,audio_link,,,,,,,,,,,,,,,,,,,,
./audio/17 ንዒ ኀቤየ_4.mp3,geez,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/17 ንዒ ኀቤየ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/17 ንዒ ኀቤየ_5.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/17 ንዒ ኀቤየ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/17 ንዒ ኀቤየ_6.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/17 ንዒ ኀቤየ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/18 ንሴብሖ_1.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/18 ንሴብሖ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/18 ንሴብሖ_2.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/18 ንሴብሖ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/19 ቅዱስ ቅዱስ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/19 ቅዱስ ቅዱስ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/20 ገነይነ ለኪ_1.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/20 ገነይነ ለኪ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/20 ገነይነ ለኪ_2.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/20 ገነይነ ለኪ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/20 ገነይነ ለኪ_3.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/20 ገነይነ ለኪ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/22 ሰአሊ ለነ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/22 ሰአሊ ለነ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/23 ሰአል ለነ አዳም አቡነ_1.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/23 ሰአል ለነ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/23 ሰአል ለነ አዳም አቡነ_2.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/23 ሰአል ለነ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/23 ሰአል ለነ አዳም አቡነ_3.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/23 ሰአል ለነ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/23 ሰአል ለነ አዳም አቡነ_4.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/23 ሰአል ለነ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/23 ሰአል ለነ አዳም አቡነ_5.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/23 ሰአል ለነ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/24 ሰአል ለነ ዮሐንስ ድንግል_1.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/24 ሰአል ለነ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/24 ሰአል ለነ ዮሐንስ ድንግል_2.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/24 ሰአል ለነ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/24 ሰአል ለነ ዮሐንስ ድንግል_3.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/24 ሰአል ለነ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/24 ሰአል ለነ ዮሐንስ ድንግል_4.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/24 ሰአል ለነ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/24 ሰአል ለነ ዮሐንስ ድንግል_5.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/24 ሰአል ለነ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/25 ሰአሉ ለነ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/25 ሰአሉ ለነ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/27 ጥኡመ ልሳን.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/27 ጥኡመ ልሳን.mp3,,,,,,,,,,,,,,,,,,,,
./audio/29 ከመ ዕፀ አርዝ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/29 ከመ ዕፀ አርዝ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/31 አንቅዕተ ሕግ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/31 አንቅዕተ ሕግ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/32 ተንሥኡ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/32 ተንሥኡ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/33 እግዚኦ ተሠሃለነ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/33 እግዚኦ ተሠሃለነ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/35 ጸልዩ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/35 ጸልዩ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/32 33 35 ተንሥኡ እግዚኦ ተሠሃለነ ጸልዩ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/35 ጸልዩ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/34 እግዚአብሔር እግዚኦ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/34 እግዚአብሔር እግዚኦ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/37 አሜሃ መልዐ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/37 አሜሃ መልዐ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/38 ተዘከር.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/38 ተዘከር.mp3,,,,,,,,,,,,,,,,,,,,
./audio/39 ሃሌ ሉያ ቁሙ ወአጽምዑ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/39 ሃሌ ሉያ ቁሙ ወአጽምዑ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/40 ወንጌል ቅዱስ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/40 ወንጌል ቅዱስ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/42 ሃሌ ሉያ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/42 ሃሌ ሉያ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/44 እስመ ተለዓለ ስሙ.mp3,geez,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/44 እስመ ተለዓለ ስሙ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/46 ኢየሱስ ክርስቶስ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/46 ኢየሱስ ክርስቶስ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/48 ኦ ዘለከ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/48 ኦ ዘለከ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/50 ስቡሕ አንተ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/50 ስቡሕ አንተ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/51 ወዘሕጎ ያነብብ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/51 ወዘሕጎ ያነብብ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/53 ረስየነ ድልዋነ.mp3,geez,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/53 ረስየነ ድልዋነ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/57 መንፈቀ ሌሊት.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/57 መንፈቀ ሌሊት.mp3,,,,,,,,,,,,,,,,,,,,
./audio/62 እስመ ጽልመትኒ ምስባክ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/62 እስመ ጽልመትኒ ምስባክ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/67 ምስባክ እግዚአብሔር አምላከ መድኃኒትየ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/67 ምስባክ እግዚአብሔር አምላከ መድኃኒትየ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/68 ምስባክ ሌሊተ ተዛዋዕኩ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/68 ምስባክ ሌሊተ ተዛዋዕኩ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/73 ምስባክ ተዘከርኩ በሌሊት.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/73 ምስባክ ተዘከርኩ በሌሊት.mp3,,,,,,,,,,,,,,,,,,,,
./audio/76 እስመ ውእቱ ዘወሀበ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/76 እስመ ውእቱ ዘወሀበ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/78 እስመ ውእቱ ዘበነቢያት.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/78 እስመ ውእቱ ዘበነቢያት.mp3,,,,,,,,,,,,,,,,,,,,
./audio/80 ልዑል እምልዑላን.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/80 ልዑል እምልዑላን.mp3,,,,,,,,,,,,,,,,,,,,
./audio/81 ምስባክ በሌሊት አንሥኡ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/81 ምስባክ በሌሊት አንሥኡ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/83 ረስየነ ድልዋነ.mp3,geez,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/83 ረስየነ ድልዋነ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/84 እስመ ተለዐለ ስሙ.mp3,geez,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/84 እስመ ተለዐለ ስሙ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/85 ኲሎሙ ዘዘወትር.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/85 ኲሎሙ ዘዘወትር.mp3,,,,,,,,,,,,,,,,,,,,
./audio/86 ቅዱስ ቅዱስ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/86 ቅዱስ ቅዱስ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/87 ወባቲ ለዛቲ_1.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/87 ወባቲ ለዛቲ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/87 ወባቲ ለዛቲ_2.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/87 ወባቲ ለዛቲ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/87 ወባቲ ለዛቲ_3.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/87 ወባቲ ለዛቲ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/87 ወባቲ ለዛቲ_4.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/87 ወባቲ ለዛቲ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/87 ወባቲ ለዛቲ_5.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/87 ወባቲ ለዛቲ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/87 ወባቲ ለዛቲ_6.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/87 ወባቲ ለዛቲ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/88 ተሰሃለነ እግዚኦ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/88 ተሰሃለነ እግዚኦ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/በእንተ ኪሩቤል.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/በእንተ ኪሩቤል.mp3,,,,,,,,,,,,,,,,,,,,
./audio/90 ተሰሃለነ እግዚኦ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/90 ተሰሃለነ እግዚኦ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/91 በእንተ ሳቁኤል.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/91 በእንተ ሳቁኤል.mp3,,,,,,,,,,,,,,,,,,,,
./audio/92  ተሰሃለነ እግዚኦ.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/92  ተሰሃለነ እግዚኦ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/93 በእንተ ነቢያት_1.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/93 በእንተ ነቢያት.mp3,,,,,,,,,,,,,,,,,,,,
./audio/93 በእንተ ነቢያት_2.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/93 በእንተ ነቢያት.mp3,,,,,,,,,,,,,,,,,,,,
./audio/93 በእንተ ነቢያት_3.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/93 በእንተ ነቢያት.mp3,,,,,,,,,,,,,,,,,,,,
./audio/94 ኲሎሙ ዘእግዝእትነ_1.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/94 ኲሎሙ ዘእግዝእትነ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/94 ኲሎሙ ዘእግዝእትነ_2.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/94 ኲሎሙ ዘእግዝእትነ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/94 ኲሎሙ ዘእግዝእትነ_3.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/94 ኲሎሙ ዘእግዝእትነ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/95 ቅድስት ቅድስት.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/95 ቅድስት ቅድስት.mp3,,,,,,,,,,,,,,,,,,,,
./audio/96 በአማን ቅድስት_1.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/96 በአማን ቅድስት.mp3,,,,,,,,,,,,,,,,,,,,
./audio/96 በአማን ቅድስት_2.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/96 በአማን ቅድስት.mp3,,,,,,,,,,,,,,,,,,,,
./audio/96 በአማን ቅድስት_3.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/96 በአማን ቅድስት.mp3,,,,,,,,,,,,,,,,,,,,
./audio/96 በአማን ቅድስት_4.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/96 በአማን ቅድስት.mp3,,,,,,,,,,,,,,,,,,,,
./audio/96 በአማን ቅድስት_5.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/96 በአማን ቅድስት.mp3,,,,,,,,,,,,,,,,,,,,
./audio/96 በአማን ቅድስት_6.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/96 በአማን ቅድስት.mp3,,,,,,,,,,,,,,,,,,,,
./audio/97 ኲሎሙ ዘቊስቋም.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/97 ኲሎሙ ዘቊስቋም.mp3,,,,,,,,,,,,,,,,,,,,
./audio/98 ቅድስት_1.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/98 ቅድስት.mp3,,,,,,,,,,,,,,,,,,,,
./audio/98 ቅድስት_2.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/98 ቅድስት.mp3,,,,,,,,,,,,,,,,,,,,
./audio/98 ቅድስት_3.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/98 ቅድስት.mp3,,,,,,,,,,,,,,,,,,,,
./audio/98 ቅድስት_4.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/98 ቅድስት.mp3,,,,,,,,,,,,,,,,,,,,
./audio/98 ቅድስት_5.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/98 ቅድስት.mp3,,,,,,,,,,,,,,,,,,,,
./audio/98 ቅድስት_6.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/98 ቅድስት.mp3,,,,,,,,,,,,,,,,,,,,
./audio/98 ቅድስት_7.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/98 ቅድስት.mp3,,,,,,,,,,,,,,,,,,,,
./audio/98 ቅድስት_8.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/98 ቅድስት.mp3,,,,,,,,,,,,,,,,,,,,
./audio/99 በከመ ምሕረትከ_1.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/99 በከመ ምሕረትከ.mp3,,,,,,,,,,,,,,,,,,,,
./audio/99 በከመ ምሕረትከ_2.mp3,araray,https://eathebook.org/zema_bet/መስተብቊዕና ሰዓታት/ኪዳንና ሰዓታት/ሰዓታት/99 በከመ ምሕረትከ.mp3,,,,,,,,,,,,,,,,,,,,
